system,obs_type,nonblank,total
C,C2I,382,382
C,L2I,0,382
C,D2I,382,382
C,S2I,382,382
C,C1D,0,382
C,L1D,0,382
C,D1D,0,382
C,S1D,0,382
C,C5P,0,382
C,L5P,0,382
C,D5P,0,382
C,S5P,0,382
E,C1B,0,733
E,L1B,0,733
E,D1B,0,733
E,S1B,0,733
E,C1C,733,733
E,L1C,0,733
E,D1C,733,733
E,S1C,733,733
E,C5Q,0,733
E,L5Q,0,733
E,D5Q,0,733
E,S5Q,0,733
G,C1C,750,750
G,L1C,0,750
G,D1C,750,750
G,S1C,750,750
G,C5Q,0,750
G,L5Q,0,750
G,D5Q,0,750
G,S5Q,0,750
J,C1C,160,160
J,L1C,0,160
J,D1C,160,160
J,S1C,160,160
J,C5Q,0,160
J,L5Q,0,160
J,D5Q,0,160
J,S5Q,0,160
R,C1C,458,458
R,L1C,0,458
R,D1C,458,458
R,S1C,458,458
